序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,技术评分,预期涨幅%,价格区间
127,300267,尔康制药,3.97,7.88,0.29,1046615.0,405832872.26,10.33,3.98,3.6,3.65,3.68,2.07,7.36,155.18,1.83,8188541334.0,5646895807.0,0.0,0.0,11.52,16.42,98.64,8,5元以下
2989,600157,永泰能源,1.97,1.03,0.02,11274433.0,2195569236.0,3.08,1.98,1.92,1.93,1.95,0.67,5.17,162.91,0.91,42980995366.0,42980995366.0,0.0,0.0,23.13,25.48,93.09,8,5元以下
177,000912,泸天化,5.59,6.68,0.35,1406742.0,774649050.73,11.64,5.7,5.09,5.09,5.24,1.4,8.97,275.74,1.38,8765120000.0,8765120000.0,0.18,0.0,34.05,34.7,90.03999999999999,8,5-10元
350,000545,金浦钛业,3.47,4.83,0.16,1030119.0,354971918.77,9.37,3.54,3.23,3.26,3.31,1.04,10.45,-11.04,3.75,3424310843.0,3419348743.0,0.29,0.0,20.07,23.05,89.49,8,5元以下
374,600868,梅雁吉祥,4.06,4.64,0.18,2788948.0,1129732273.0,11.34,4.26,3.82,3.88,3.88,1.69,14.69,-187.36,3.98,7706483637.0,7706483637.0,0.0,0.0,16.33,21.56,88.92,8,5元以下
135,300131,英唐智控,12.16,7.52,0.85,1563058.0,1864526413.37,18.48,12.87,10.78,10.89,11.31,1.27,15.0,397.06,7.81,13801836938.0,12673972995.0,0.08,-0.16,-1.54,-17.05,87.56,8,10-20元
498,600691,潞化科技,3.62,4.02,0.14,1587004.0,576177565.0,9.48,3.76,3.43,3.43,3.48,1.02,6.68,-17.73,2.38,8601054666.0,8599621146.0,0.0,0.0,27.46,31.16,87.06,8,5元以下
275,601678,滨化股份,5.19,5.27,0.26,1363573.0,705220807.0,8.52,5.33,4.91,4.94,4.93,2.0,6.67,41.63,0.93,10674980272.0,10604915272.0,0.19,0.19,20.98,22.41,85.81,8,5-10元
642,600370,三房巷,2.6,3.59,0.09,2002998.0,519349678.0,6.77,2.64,2.47,2.49,2.51,0.71,5.14,-16.28,2.05,10131369864.0,10131369864.0,0.0,0.0,19.82,15.04,85.77,8,5元以下
303,000036,华联控股,5.21,5.04,0.25,1189577.0,625493751.57,11.29,5.46,4.9,4.92,4.96,3.0,8.49,153.72,1.44,7313895557.0,7299996621.0,0.19,0.19,-15.01,-21.06,85.12,8,5-10元
926,000639,西王食品,3.2,2.89,0.09,1204056.0,379462123.22,4.5,3.21,3.07,3.11,3.11,1.47,11.15,1165.94,1.19,3454169904.0,3454165670.0,0.0,0.0,-10.86,-3.32,83.67,8,5元以下
204,000973,佛塑科技,19.59,6.12,1.13,1283115.0,2419907988.58,11.05,19.75,17.71,17.91,18.46,1.6,13.26,445.8,6.5,48156858246.0,18951819920.0,0.05,0.05,51.51,33.27,83.36,8,10-20元
991,000420,吉林化纤,4.83,2.77,0.13,1331271.0,637784685.56,4.04,4.84,4.65,4.65,4.7,0.65,5.42,272.83,2.69,11876334097.0,11872290421.0,0.0,0.42,20.15,6.62,83.31,8,5元以下
1098,600617,国新能源,4.34,2.6,0.11,2141106.0,943861255.0,8.98,4.62,4.24,4.26,4.23,0.91,12.06,-680.81,2.47,8372692308.0,7705855270.0,0.0,0.23,35.2,38.22,82.8,8,5元以下
218,000968,蓝焰控股,11.57,5.86,0.64,1529992.0,1748859555.01,7.78,11.86,11.01,11.2,10.93,1.31,15.81,31.33,1.81,11194005776.0,11194005776.0,0.17,0.17,74.77,75.04,82.58,8,10-20元
502,603077,和邦生物,2.86,4.0,0.11,3938096.0,1123545432.0,7.64,2.92,2.71,2.72,2.75,1.42,4.46,203.46,1.39,25258565412.0,25258565412.0,-0.35,-0.35,28.25,26.55,82.0,8,5元以下
1611,600010,包钢股份,2.55,2.0,0.05,5973502.0,1512814033.0,4.0,2.56,2.46,2.47,2.5,0.75,1.9,372.41,2.22,115485979337.0,80021035632.0,0.0,0.0,7.14,7.14,81.0,8,5元以下
1795,600537,亿晶光电,3.88,1.84,0.07,1432480.0,553675079.0,5.77,3.95,3.73,3.79,3.81,0.76,12.1,-16.12,20.43,4592814270.0,4592814270.0,0.0,0.52,1.04,-6.73,80.52000000000001,8,5元以下
4622,600759,洲际油气,6.17,-0.32,-0.02,5309727.0,3221056960.0,5.49,6.25,5.91,6.13,6.19,0.99,12.81,231.11,2.91,25599387258.0,25566541263.0,0.0,-0.16,113.49,97.76,79.68,6,5-10元
2187,600527,江南高纤,2.62,1.55,0.04,1552311.0,399343867.0,4.26,2.62,2.51,2.57,2.58,0.95,8.96,170.48,2.2,4537213563.0,4537213563.0,0.38,1.16,23.0,21.86,79.65,6,5元以下
