代码,名称,当前价格,技术评分,预期涨幅%,RSI,MA5,成交量比率
000045,深纺织Ａ,14.41,100,8,66.1,13.59,1.25
000722,湖南发展,16.96,100,8,68.08,16.14,2.07
000968,蓝焰控股,11.57,100,8,60.2,10.78,1.29
000993,闽东电力,16.27,100,8,58.31,15.18,1.31
000927,中国铁物,3.13,100,8,55.9,2.98,1.86
300158,振东制药,6.22,100,8,59.41,5.95,1.24
300730,科创信息,13.77,100,8,55.13,13.1,2.06
600163,中闽能源,7.83,100,8,68.25,7.39,2.0
301587,中瑞股份,27.67,100,8,66.57,24.96,1.81
301246,宏源药业,23.01,100,8,66.55,21.08,1.7
300385,雪浪环境,16.52,100,8,66.86,17.93,1.38
300568,星源材质,15.19,100,8,58.9,14.71,1.26
300245,天玑科技,13.85,100,8,58.84,12.63,1.42
603977,国泰集团,17.0,100,8,65.5,15.83,1.52
603520,司太立,10.9,100,8,64.55,9.86,1.96
920809,安达科技,7.62,100,8,66.05,7.31,1.44
600773,西藏城投,19.7,100,8,68.36,18.19,1.21
600780,通宝能源,7.99,100,8,68.47,7.53,1.29
600719,大连热电,7.26,100,8,59.12,7.05,1.32
600721,百花医药,10.0,100,8,65.41,9.39,1.38
